student_id,full_name,grade,school,zone,assigned_bus_number,assigned_route,assigned_stop,guardian_name,guardian_phone
S1001,Ava Boudreaux,3,Legion Park Elementary,East Houma,TPB-101,Houma East,East Houma area stop,Michelle Boudreaux,985-555-0101
S1002,Liam Trahan,5,Legion Park Elementary,Bayou Cane,TPB-101,Houma East,Bayou Cane area stop,Rachel Trahan,985-555-0102
S1003,Noah Guidry,1,Southdown Elementary,Southdown,TPB-102,Houma West,Southdown area stop,Tyler Guidry,985-555-0103
S1004,Emma Pitre,7,Oaklawn Jr High,West Houma,TPB-102,Houma West,West Houma area stop,Susan Pitre,985-555-0104
S1005,Olivia Naquin,4,Broadmoor Elementary,Gray,TPB-103,Bayou Blue,Gray area stop,Chris Naquin,985-555-0105
S1006,Ethan Melancon,6,Oaklawn Jr High,Bayou Blue,TPB-103,Bayou Blue,Bayou Blue area stop,Karen Melancon,985-555-0106
S1007,Sophia Robichaux,2,East Park Elementary,Schriever,TPB-104,Schriever,Schriever area stop,Dale Robichaux,985-555-0107
S1008,Mason Billiot,8,Oaklawn Jr High,Chacahoula,TPB-104,Schriever,Chacahoula area stop,Traci Billiot,985-555-0108
S1009,Isabella Chauvin,5,Elysian Fields Elementary,North Thibodaux,TPB-105,Thibodaux North,North Thibodaux area stop,Kevin Chauvin,985-555-0109
S1010,Lucas Comeaux,3,Elysian Fields Elementary,Choctaw,TPB-105,Thibodaux North,Choctaw area stop,Nicole Comeaux,985-555-0110
S1011,Chloe Prejean,7,Thibodaux Middle,Napoleonville Rd,TPB-106,Thibodaux South,Napoleonville Rd area stop,Brian Prejean,985-555-0111
S1012,Owen Landry,1,South Thibodaux Elementary,South Thibodaux,TPB-106,Thibodaux South,South Thibodaux area stop,Amanda Landry,985-555-0112
S1013,Harper Duplantis,6,Montegut School,Montegut,TPB-107,Montegut,Montegut area stop,Todd Duplantis,985-555-0113
S1014,Jack Authement,4,Pointe-aux-Chenes School,Pointe-aux-Chenes,TPB-107,Montegut,Pointe-aux-Chenes area stop,Sarah Authement,985-555-0114
S1015,Ella Verret,2,Chauvin Elementary,Chauvin,TPB-108,Chauvin,Chauvin area stop,Mark Verret,985-555-0115
S1016,Logan Foret,8,Chauvin Elementary,Cocodrie,TPB-108,Chauvin,Cocodrie area stop,Jenny Foret,985-555-0116
